[02:10:04] === bench-spark run ===
[02:10:04] Profile: dense-31b
[02:10:04] Tests:   A B C D E F G H I J
[02:10:04] Results: /home/eugene/benchmarks/bench-spark/results/gemma-4-31b-it/bf16
[02:10:04] ── START A ──
[15:15:53]     ... 01 running: 1862s, GPU 96%, 37.35W, 64C, 2483MHz
[15:16:53]     ... 01 running: 1922s, GPU 96%, 49.34W, 66C, 2496MHz
[15:17:54]     ... 01 running: 1983s, GPU 96%, 49.91W, 67C, 2496MHz
[15:18:28] ── END 01 (2017s) ──
[15:18:28] ── START 02 ──
[15:19:28]     ... 02 running: 60s, GPU 96%, 40.15W, 69C, 2483MHz
[15:20:29]     ... 02 running: 121s, GPU 96%, 39.11W, 65C, 2483MHz
[15:21:29]     ... 02 running: 181s, GPU 96%, 35.77W, 64C, 2483MHz
[15:22:29]     ... 02 running: 241s, GPU 96%, 40.64W, 70C, 2489MHz
[15:23:30]     ... 02 running: 302s, GPU 96%, 39.15W, 66C, 2489MHz
[15:24:30]     ... 02 running: 362s, GPU 96%, 37.31W, 64C, 2483MHz
[15:25:30]     ... 02 running: 422s, GPU 96%, 40.89W, 72C, 2463MHz
[15:26:31]     ... 02 running: 483s, GPU 96%, 39.27W, 66C, 2489MHz
[15:27:31]     ... 02 running: 543s, GPU 96%, 39.06W, 66C, 2483MHz
[15:28:31]     ... 02 running: 603s, GPU 96%, 93.24W, 77C, 2359MHz
[15:29:32]     ... 02 running: 664s, GPU 96%, 39.47W, 67C, 2483MHz
[15:30:32]     ... 02 running: 724s, GPU 96%, 37.60W, 65C, 2483MHz
[15:31:32]     ... 02 running: 784s, GPU 96%, 89.71W, 79C, 2405MHz
[15:32:33]     ... 02 running: 845s, GPU 96%, 43.39W, 71C, 2489MHz
[15:33:33]     ... 02 running: 905s, GPU 96%, 41.59W, 65C, 2489MHz
[15:34:33]     ... 02 running: 965s, GPU 96%, 40.06W, 68C, 2489MHz
[15:35:34]     ... 02 running: 1026s, GPU 96%, 88.78W, 78C, 2372MHz
[15:36:34]     ... 02 running: 1086s, GPU 96%, 43.07W, 70C, 2489MHz
[15:37:34]     ... 02 running: 1146s, GPU 96%, 41.56W, 65C, 2489MHz
[15:38:35]     ... 02 running: 1207s, GPU 96%, 38.35W, 68C, 2483MHz
[15:39:35]     ... 02 running: 1267s, GPU 96%, 88.48W, 78C, 2262MHz
[15:40:35]     ... 02 running: 1327s, GPU 96%, 42.67W, 68C, 2489MHz
[15:41:36]     ... 02 running: 1388s, GPU 96%, 41.75W, 66C, 2489MHz
[15:42:36]     ... 02 running: 1448s, GPU 96%, 39.52W, 68C, 2483MHz
[15:43:36]     ... 02 running: 1508s, GPU 96%, 91.10W, 81C, 2457MHz
[15:44:37]     ... 02 running: 1569s, GPU 96%, 42.54W, 68C, 2489MHz
[15:45:37]     ... 02 running: 1629s, GPU 96%, 39.23W, 66C, 2483MHz
[15:47:28]     ... 02 running: 1740s, GPU 96%, 93.41W, 83C, 2366MHz
[15:48:28]     ... 02 running: 1800s, GPU 96%, 91.34W, 82C, 2379MHz
