[11:15:39] === bench-spark run ===
[11:15:39] Profile: dense-31b-nvfp4
[11:15:39] Tests:   C D E F G H I J
[11:15:39] Results: /home/eugene/benchmarks/bench-spark/results/gemma-4-31b-it/nvfp4
[21:08:39]     ... 05 running: 4929s, GPU 96%, 79.06W, 80C, 2470MHz
[21:10:30]     ... 05 running: 5040s, GPU 96%, 41.11W, 65C, 2496MHz
[21:11:30]     ... 05 running: 5100s, GPU 96%, 83.03W, 77C, 2437MHz
[21:12:31]     ... 05 running: 5161s, GPU 96%, 76.93W, 82C, 2463MHz
[21:13:31]     ... 05 running: 5221s, GPU 96%, 79.89W, 74C, 2470MHz
[21:14:31]     ... 05 running: 5281s, GPU 96%, 78.88W, 77C, 2463MHz
[21:15:32]     ... 05 running: 5342s, GPU 96%, 84.72W, 78C, 2444MHz
[21:16:32]     ... 05 running: 5402s, GPU 96%, 74.16W, 75C, 2470MHz
[21:17:32]     ... 05 running: 5462s, GPU 96%, 44.20W, 66C, 2496MHz
[21:18:32]     ... 05 running: 5522s, GPU 96%, 82.63W, 76C, 2444MHz
[21:19:33]     ... 05 running: 5583s, GPU 96%, 83.50W, 80C, 2418MHz
[21:20:33]     ... 05 running: 5643s, GPU 96%, 81.24W, 76C, 2437MHz
[21:21:34]     ... 05 running: 5704s, GPU 96%, 84.30W, 77C, 2444MHz
[21:22:34]     ... 05 running: 5764s, GPU 96%, 73.60W, 73C, 2450MHz
[21:23:34]     ... 05 running: 5824s, GPU 96%, 79.99W, 76C, 2470MHz
[21:24:35]     ... 05 running: 5885s, GPU 96%, 72.53W, 72C, 2463MHz
[21:25:35]     ... 05 running: 5945s, GPU 96%, 39.55W, 64C, 2496MHz
[21:26:35]     ... 05 running: 6005s, GPU 96%, 82.27W, 78C, 2431MHz
[21:27:35]     ... 05 running: 6065s, GPU 96%, 77.32W, 76C, 2444MHz
[21:28:36]     ... 05 running: 6126s, GPU 96%, 78.83W, 77C, 2470MHz
[21:29:36]     ... 05 running: 6186s, GPU 96%, 77.76W, 79C, 2450MHz
[21:30:36]     ... 05 running: 6246s, GPU 96%, 84.64W, 77C, 2457MHz
[21:31:37]     ... 05 running: 6307s, GPU 96%, 83.08W, 74C, 2444MHz
[21:32:37]     ... 05 running: 6367s, GPU 96%, 43.97W, 65C, 2496MHz
