
════════ nieuwe sessie 2026-08-12T03:04:56+02:00 ════════
[03:04:56] === bench-spark run ===
[03:04:56] Profile: muse-glimmer-30b-bf16
[03:04:56] Tests:   01 02 03 04 05 06 07 08 09 10 11
[03:04:56] Results: /home/eugene/benchmarks/bench-spark/results/muse-glimmer-30b/bf16
[03:05:02] Sanity-check op modeloutput...
[03:06:00] SANITY: OK, model antwoordt: 1, 2, 3, 4, 5 Tel van 1 tot 5. Tel van 1 tot 5. Dutch: Count from 1 to
[03:06:00] ── START 01 ──
[07:06:56]     ... 03 running: 9180s, GPU 96%, 40.70W, 60C, 2502MHz
[07:07:57]     ... 03 running: 9241s, GPU 96%, 41.17W, 60C, 2502MHz
[07:08:57]     ... 03 running: 9301s, GPU 96%, 41.61W, 60C, 2502MHz
[07:09:57]     ... 03 running: 9361s, GPU 96%, 42.14W, 60C, 2502MHz
[07:10:58]     ... 03 running: 9422s, GPU 96%, 42.57W, 61C, 2502MHz
[07:11:58]     ... 03 running: 9482s, GPU 96%, 42.97W, 61C, 2502MHz
[07:12:58]     ... 03 running: 9542s, GPU 96%, 43.52W, 61C, 2502MHz
[07:13:59]     ... 03 running: 9603s, GPU 96%, 43.25W, 61C, 2502MHz
[07:14:59]     ... 03 running: 9663s, GPU 96%, 43.25W, 62C, 2502MHz
[07:16:00]     ... 03 running: 9724s, GPU 96%, 43.31W, 62C, 2502MHz
[07:17:00]     ... 03 running: 9784s, GPU 96%, 43.33W, 62C, 2502MHz
[07:18:00]     ... 03 running: 9844s, GPU 96%, 43.36W, 62C, 2502MHz
[07:19:01]     ... 03 running: 9905s, GPU 96%, 41.00W, 61C, 2502MHz
[07:20:01]     ... 03 running: 9965s, GPU 96%, 40.96W, 61C, 2502MHz
[07:21:02]     ... 03 running: 10026s, GPU 96%, 40.78W, 61C, 2502MHz
[07:22:02]     ... 03 running: 10086s, GPU 96%, 40.90W, 61C, 2502MHz
[07:23:02]     ... 03 running: 10146s, GPU 96%, 41.04W, 61C, 2502MHz
[07:24:03]     ... 03 running: 10207s, GPU 96%, 41.39W, 60C, 2502MHz
[07:25:03]     ... 03 running: 10267s, GPU 96%, 41.64W, 60C, 2502MHz
[07:26:04]     ... 03 running: 10328s, GPU 96%, 42.02W, 60C, 2502MHz
[07:27:04]     ... 03 running: 10388s, GPU 96%, 42.55W, 60C, 2502MHz
[07:28:04]     ... 03 running: 10448s, GPU 96%, 42.97W, 60C, 2502MHz
[07:29:05]     ... 03 running: 10509s, GPU 96%, 43.41W, 60C, 2502MHz
[07:30:05]     ... 03 running: 10569s, GPU 96%, 43.91W, 60C, 2502MHz
[07:30:56]     ... 03 running: 10620s, GPU 96%, 43.85W, 60C, 2502MHz
[07:31:56]     ... 03 running: 10680s, GPU 96%, 43.99W, 60C, 2502MHz
[07:32:56]     ... 03 running: 10740s, GPU 96%, 43.66W, 60C, 2502MHz
[07:33:57]     ... 03 running: 10801s, GPU 96%, 40.63W, 59C, 2502MHz
[07:34:57]     ... 03 running: 10861s, GPU 96%, 40.47W, 59C, 2502MHz
[07:35:58]     ... 03 running: 10922s, GPU 96%, 40.42W, 59C, 2502MHz
[07:36:58]     ... 03 running: 10982s, GPU 96%, 40.49W, 59C, 2502MHz
[07:37:58]     ... 03 running: 11042s, GPU 96%, 39.68W, 58C, 2502MHz
[07:38:59]     ... 03 running: 11103s, GPU 96%, 39.05W, 58C, 2502MHz
[07:39:09] ── END 03 (11113s) ──
[07:39:09] ── START 04 ──
[07:40:10]     ... 04 running: 61s, GPU 96%, 41.41W, 59C, 2515MHz
[07:41:10]     ... 04 running: 121s, GPU 96%, 41.42W, 59C, 2515MHz
[07:42:11]     ... 04 running: 182s, GPU 96%, 41.54W, 59C, 2515MHz
[07:43:11]     ... 04 running: 242s, GPU 96%, 41.56W, 59C, 2515MHz
[07:44:11]     ... 04 running: 302s, GPU 96%, 41.63W, 59C, 2515MHz
[07:45:12]     ... 04 running: 363s, GPU 96%, 41.45W, 59C, 2515MHz
[07:46:12]     ... 04 running: 423s, GPU 96%, 41.51W, 59C, 2515MHz
[07:47:12]     ... 04 running: 483s, GPU 96%, 41.60W, 59C, 2515MHz
[07:48:13]     ... 04 running: 544s, GPU 96%, 39.07W, 59C, 2502MHz
[07:49:13]     ... 04 running: 604s, GPU 96%, 39.00W, 58C, 2502MHz
[07:50:14]     ... 04 running: 665s, GPU 96%, 38.99W, 59C, 2502MHz
[07:51:14]     ... 04 running: 725s, GPU 96%, 39.01W, 57C, 2502MHz
[07:52:14]     ... 04 running: 785s, GPU 96%, 38.96W, 59C, 2502MHz
[07:53:15]     ... 04 running: 846s, GPU 96%, 38.94W, 58C, 2502MHz
[07:54:15]     ... 04 running: 906s, GPU 96%, 39.07W, 59C, 2502MHz
[07:55:16]     ... 04 running: 967s, GPU 96%, 39.06W, 58C, 2502MHz
[07:56:16]     ... 04 running: 1027s, GPU 96%, 44.19W, 63C, 2483MHz
