[19:58:53] === bench-spark run ===
[19:58:53] Profile: qwen3.6-27b-bf16
[19:58:53] Tests:   01 02 03 04 05 06 07 08 09 10 11
[19:58:53] Results: /home/eugene/benchmarks/bench-spark/results/qwen3.6-27b/bf16
[19:58:59] Sanity-check op modeloutput...
[19:59:55] SANITY: OK, model antwoordt: 1. één 2. twee 3. drie 4. vier 5. vijf We need to count from 1 to 5 in
[19:59:55] ── START 01 ──
[23:42:09]     ... 03 running: 7740s, GPU 96%, 39.38W, 67C, 2489MHz
[23:43:10]     ... 03 running: 7801s, GPU 96%, 39.43W, 67C, 2489MHz
[23:44:10]     ... 03 running: 7861s, GPU 96%, 39.32W, 66C, 2489MHz
[23:45:11]     ... 03 running: 7922s, GPU 96%, 39.28W, 66C, 2489MHz
[23:46:11]     ... 03 running: 7982s, GPU 96%, 41.81W, 67C, 2489MHz
[23:47:11]     ... 03 running: 8042s, GPU 96%, 41.85W, 67C, 2489MHz
[23:48:12]     ... 03 running: 8103s, GPU 96%, 41.91W, 68C, 2489MHz
[23:49:12]     ... 03 running: 8163s, GPU 96%, 41.91W, 68C, 2489MHz
[23:50:13]     ... 03 running: 8224s, GPU 96%, 41.92W, 68C, 2489MHz
[23:51:13]     ... 03 running: 8284s, GPU 96%, 41.92W, 68C, 2489MHz
[23:52:14]     ... 03 running: 8345s, GPU 96%, 39.86W, 68C, 2489MHz
[23:53:14]     ... 03 running: 8405s, GPU 96%, 39.43W, 67C, 2489MHz
[23:54:14]     ... 03 running: 8465s, GPU 96%, 39.43W, 67C, 2489MHz
[23:55:15]     ... 03 running: 8526s, GPU 96%, 39.31W, 67C, 2489MHz
[23:56:15]     ... 03 running: 8586s, GPU 96%, 39.28W, 67C, 2489MHz
[23:57:16]     ... 03 running: 8647s, GPU 96%, 39.37W, 67C, 2489MHz
[23:58:16]     ... 03 running: 8707s, GPU 96%, 39.30W, 66C, 2489MHz
[23:59:17]     ... 03 running: 8768s, GPU 96%, 39.41W, 66C, 2489MHz
[00:00:17]     ... 03 running: 8828s, GPU 96%, 39.30W, 67C, 2489MHz
[00:01:17]     ... 03 running: 8888s, GPU 96%, 37.90W, 66C, 2489MHz
