[14:16:30] === bench-spark run ===
[14:16:30] Profile: muse-glimmer-30b-bf16-spec
[14:16:30] Tests:   01 02 03 04 05 06 07 08 09 10 11
[14:16:30] Results: /home/eugene/benchmarks/bench-spark/results/muse-glimmer-30b/bf16-spec
[14:16:38] Sanity-check op modeloutput...
[14:17:00] SANITY: OK, model antwoordt: 1, 2, 3, 4, Tel van 1 tot 5. Tel van 1 tot 5. Dutch: Count from 1 to 5
[14:17:00] ── START 01 ──
[18:44:19]     ... 08 running: 664s, GPU 96%, 51.85W, 74C, 2470MHz
[18:45:20]     ... 08 running: 725s, GPU 96%, 56.67W, 75C, 2463MHz
[18:46:20]     ... 08 running: 785s, GPU 96%, 50.24W, 73C, 2470MHz
[18:47:21]     ... 08 running: 846s, GPU 96%, 43.00W, 70C, 2483MHz
[18:48:21]     ... 08 running: 906s, GPU 96%, 50.94W, 72C, 2470MHz
[18:49:21]     ... 08 running: 966s, GPU 0%, 14.68W, 60C, 2411MHz
[18:49:23] ── END 08 (968s) ──
[18:49:23] ── START 09 ──
[18:50:24]     ... 09 running: 61s, GPU 96%, 81.59W, 73C, 2379MHz
[18:51:24]     ... 09 running: 121s, GPU 96%, 89.24W, 77C, 2418MHz
[18:52:24]     ... 09 running: 181s, GPU 96%, 87.62W, 82C, 2437MHz
[18:53:25]     ... 09 running: 242s, GPU 96%, 85.83W, 80C, 2437MHz
[18:54:25]     ... 09 running: 302s, GPU 96%, 83.08W, 82C, 2437MHz
[18:55:25]     ... 09 running: 362s, GPU 96%, 82.05W, 82C, 2444MHz
[18:56:26]     ... 09 running: 423s, GPU 96%, 81.29W, 82C, 2444MHz
[18:57:26]     ... 09 running: 483s, GPU 96%, 80.54W, 79C, 2450MHz
[18:58:26]     ... 09 running: 543s, GPU 96%, 81.53W, 81C, 2444MHz
[18:59:27]     ... 09 running: 604s, GPU 96%, 81.01W, 82C, 2444MHz
[19:00:27]     ... 09 running: 664s, GPU 96%, 80.65W, 79C, 2444MHz
[19:01:27]     ... 09 running: 724s, GPU 96%, 78.82W, 79C, 2444MHz
[19:02:28]     ... 09 running: 785s, GPU 96%, 79.19W, 79C, 2450MHz
[19:03:28]     ... 09 running: 845s, GPU 96%, 80.40W, 81C, 2450MHz
[19:04:29]     ... 09 running: 906s, GPU 96%, 80.09W, 81C, 2444MHz
[19:05:29]     ... 09 running: 966s, GPU 96%, 82.53W, 80C, 2444MHz
[19:06:29]     ... 09 running: 1026s, GPU 96%, 82.90W, 82C, 2444MHz
[19:07:30]     ... 09 running: 1087s, GPU 96%, 80.28W, 81C, 2457MHz
[19:08:30]     ... 09 running: 1147s, GPU 96%, 75.46W, 78C, 2463MHz
